id,184A1,184B5,21MT1,21NT,21PT,600MPE,AU565,BT474,BT483,BT549,CAMA1,EFM192A,EFM192B,EFM192C,HCC1143,HCC1395,HCC1419,HCC1428,HCC1569,HCC1806,HCC1937,HCC1954,HCC202,HCC3153,HCC38,HCC70,HS578T,JIMT1,LY2,MCF10A,MCF10F,MCF12A,MCF7,MDAMB134VI,MDAMB175VII,MDAMB231,MDAMB361,MDAMB453,MX1,SKBR3,SUM1315MO2,SUM149PT,SUM225CWN,SUM229PE,SUM52PE,T47D,T47D_Kbluc,UACC812,UACC893,ZR751,ZR7530,ZR75B
ENSG00000181444,0.18,2.59,0.61,1.26,1.54,2.42,5.53,3.92,5.22,2.69,5.03,6.1,4.82,4.88,1.55,2.26,4.3,3.36,3.69,0.04,1.48,2.2,4.58,1.27,1.14,3.97,0.26,0.85,6.05,0.52,0.74,1.01,5.27,5.24,5.12,0.12,4.12,6.02,3.15,4.26,5.66,2.64,4.0,1.03,3.58,3.89,4.2,5.19,4.65,5.13,3.79,4.46
ENSG00000104852,7.72,7.16,8.66,8.98,8.81,6.34,7.87,6.35,6.94,7.64,6.94,8.12,8.47,8.2,7.49,5.75,6.64,7.3,6.67,7.14,7.42,7.21,6.86,6.94,6.85,7.01,7.66,6.97,8.16,7.84,7.0,8.06,6.74,6.9,6.33,7.95,7.06,7.92,7.83,8.15,8.58,8.11,7.59,8.93,7.98,7.17,7.35,8.22,7.47,7.29,6.26,6.96
ENSG00000075461,3.74,0.12,0.0,0.26,0.03,5.26,5.06,4.71,6.92,4.59,6.37,5.25,4.83,6.5,1.17,0.58,4.8,6.74,1.54,0.0,2.17,3.29,3.32,4.73,0.36,2.55,0.15,0.2,7.23,0.0,0.0,0.0,5.19,5.58,5.48,0.12,7.25,3.76,4.01,3.83,0.39,0.91,5.27,2.34,1.79,5.54,5.23,6.42,6.52,6.11,6.77,3.11
ENSG00000019549,6.01,5.19,4.23,4.15,4.4,0.0,0.11,0.04,0.9,4.73,0.08,0.04,0.04,0.0,1.9,4.94,0.0,0.0,2.68,4.41,3.57,3.56,3.26,0.9,5.2,2.99,5.38,5.0,0.1,5.54,6.07,5.91,0.19,0.0,0.78,2.5,0.74,0.12,4.82,0.0,5.2,1.52,0.48,5.09,2.83,0.0,0.0,0.14,0.0,0.0,0.06,0.0
ENSG00000237700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138757,5.6,5.45,4.77,5.09,5.04,6.11,4.65,7.53,5.75,5.59,6.23,4.66,4.42,4.23,4.87,5.81,6.42,5.27,5.78,5.67,4.98,5.83,5.65,5.99,6.44,5.48,5.1,6.41,4.57,5.47,5.35,4.75,5.29,6.34,6.5,5.69,6.67,5.77,4.8,5.14,4.96,5.71,5.2,5.29,5.19,5.19,5.01,4.52,5.06,5.53,6.29,5.82
ENSG00000258721,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000011422,4.5,4.59,7.28,6.5,6.97,3.27,3.67,1.12,2.49,5.98,2.03,2.85,2.59,1.79,6.77,3.33,0.92,2.57,5.57,4.3,5.62,5.76,4.5,6.06,4.65,4.9,6.77,4.64,2.33,4.83,7.35,5.61,1.98,2.35,1.88,6.95,0.65,1.02,6.54,3.59,6.42,5.18,4.11,6.18,4.43,1.28,1.74,1.85,2.97,2.82,1.33,2.2
ENSG00000250722,0.0,2.54,0.63,3.31,3.54,4.73,4.2,5.21,3.28,0.0,5.21,4.86,4.42,4.6,0.78,0.84,6.25,5.48,1.59,1.14,1.8,1.9,5.51,2.67,1.36,4.75,1.46,0.06,0.72,1.55,1.78,1.08,3.92,6.71,5.8,1.02,8.86,6.76,0.0,6.46,0.0,0.38,7.26,1.32,6.6,6.72,5.9,3.6,6.76,6.96,6.95,4.17
ENSG00000064787,0.0,0.1,0.11,0.23,0.04,3.75,6.61,8.24,4.28,0.2,3.16,6.92,6.28,6.12,0.06,0.43,7.9,3.71,0.11,0.0,0.39,1.9,5.34,0.19,0.03,0.61,0.24,0.31,6.3,0.07,0.15,0.37,4.38,3.67,7.09,0.15,3.81,0.43,0.04,6.29,0.0,0.0,4.38,0.52,2.07,3.21,1.58,4.16,5.67,4.41,8.03,5.11
